Epoch,Accuracy,Loss
1.0,0.4722222222222222,1.077694962422053
2.0,0.4722222222222222,1.03043412996663
3.0,0.6111111111111112,1.0029115974903107
4.0,0.5833333333333334,0.9705619348420037
5.0,0.5277777777777778,0.997603479358885
6.0,0.75,0.851259536213345
7.0,0.8333333333333334,0.7996610105037689
8.0,0.8611111111111112,0.7586971604161792
9.0,0.8888888888888888,0.7175620231363509
10.0,0.8888888888888888,0.6996146175596449
11.0,0.8888888888888888,0.6966003659698699
12.0,0.8888888888888888,0.6809769140349494
13.0,0.8888888888888888,0.6689876351091597
14.0,0.9166666666666666,0.6587346146504084
15.0,0.9166666666666666,0.6554198546542062
16.0,0.9166666666666666,0.6532222595479753
17.0,0.9166666666666666,0.6504547794659933
18.0,0.9166666666666666,0.6481629659732183
19.0,0.9166666666666666,0.6461418022712072
20.0,0.9166666666666666,0.6451864308781095
21.0,0.9166666666666666,0.6436332729127672
22.0,0.9166666666666666,0.6418291793929206
23.0,0.9166666666666666,0.6406376196278466
24.0,0.9166666666666666,0.640071302652359
25.0,0.9166666666666666,0.6392603814601898
26.0,0.9444444444444444,0.6383363554875056
27.0,0.9166666666666666,0.6386347843541039
28.0,0.9166666666666666,0.6381334347857369
29.0,0.9444444444444444,0.6372498671213785
30.0,0.9444444444444444,0.636513920293914
