,Epoch,Accuracy,Loss
0,1.0,0.23333333333333334,1.1148563504219056
1,2.0,0.5,1.082342952489853
2,3.0,0.6666666666666666,1.0564051389694213
3,4.0,0.6,1.037967417637507
4,5.0,0.7666666666666667,1.0270326117674509
5,6.0,0.8333333333333334,1.002989407380422
6,7.0,0.6333333333333333,0.9871464649836222
7,8.0,0.6333333333333333,0.9842401285966237
8,9.0,0.5333333333333333,0.9802387336889903
9,10.0,0.5666666666666667,0.9498220543066661
10,11.0,0.6333333333333333,0.9074622452259063
11,12.0,0.7666666666666667,0.8590892493724823
12,13.0,0.8,0.8103799084822337
13,14.0,0.9333333333333333,0.7561973790327708
14,15.0,0.9333333333333333,0.7351003666718801
